categoria,secao,ano,mes,titulo,url
arquivo,ATOS,2013,,ATO Nº 041-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_041-13.pdf
arquivo,ATOS,2013,,ATO Nº 042-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_042-13.pdf
arquivo,ATOS,2013,,ATO Nº 043-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_043-13.pdf
arquivo,ATOS,2013,,ATO Nº 044-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_044-13.pdf
arquivo,ATOS,2013,,ATO Nº 045-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_045-13.pdf
arquivo,ATOS,2013,,ATO Nº 046-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_046-13.pdf
arquivo,ATOS,2013,,ATO Nº 047-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_047-13.pdf
arquivo,ATOS,2013,,ATO Nº 048-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_048-13.pdf
arquivo,ATOS,2013,,ATO Nº 049-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_049-13.pdf
arquivo,ATOS,2013,,ATO Nº 050-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_050-13.pdf
arquivo,ATOS,2013,,ATO Nº 051-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_051-13.pdf
arquivo,ATOS,2013,,ATO Nº 052-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_052-13.pdf
arquivo,ATOS,2013,,ATO Nº 053-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_053-13.pdf
arquivo,ATOS,2013,,ATO Nº 054-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_054-13.pdf
arquivo,ATOS,2013,,ATO Nº 055-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_055-13.pdf
arquivo,ATOS,2013,,ATO Nº 056-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_056-13.pdf
arquivo,ATOS,2013,,ATO Nº 057-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_057-13.pdf
arquivo,ATOS,2013,,ATO Nº 058-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_058-13.pdf
arquivo,ATOS,2013,,ATO Nº 059-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_059-13.pdf
arquivo,ATOS,2013,,ATO Nº 060-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_060-13.pdf
arquivo,ATOS,2013,,ATO Nº 061-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_061-13.pdf
arquivo,ATOS,2013,,ATO Nº 062-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_062-13.pdf
arquivo,ATOS,2013,,ATO Nº 063-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_063-13.pdf
arquivo,ATOS,2013,,ATO Nº 064-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_064-13.pdf
arquivo,ATOS,2013,,ATO Nº 065-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_065-13.pdf
arquivo,ATOS,2013,,ATO Nº 066-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_066-13.pdf
arquivo,ATOS,2013,,ATO Nº 067-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_067-13.pdf
arquivo,ATOS,2013,,ATO Nº 068-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_068-13.pdf
arquivo,ATOS,2013,,ATO Nº 069-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_069-13.pdf
arquivo,ATOS,2013,,ATO Nº 070-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_070-13.pdf
arquivo,ATOS,2013,,ATO Nº 071-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_071-13.pdf
arquivo,ATOS,2013,,ATO Nº 072-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_072-13.pdf
arquivo,ATOS,2013,,ATO Nº 073-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_073-13.pdf
arquivo,ATOS,2013,,ATO Nº 074-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_074-13.pdf
arquivo,ATOS,2013,,ATO Nº 075-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_075-13.pdf
arquivo,ATOS,2013,,ATO Nº 076-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_076-13.pdf
arquivo,ATOS,2013,,ATO Nº 078-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_078-13.pdf
arquivo,ATOS,2013,,ATO Nº 079-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_079-13.pdf
arquivo,ATOS,2013,,ATO Nº 080-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_080-13.pdf
arquivo,ATOS,2013,,ATO Nº 081-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_081-13.pdf
arquivo,ATOS,2013,,ATO Nº 082-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_082-13.pdf
arquivo,ATOS,2013,,ATO Nº 083-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_083-13.pdf
arquivo,ATOS,2013,,ATO Nº 084-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_084-13.pdf
arquivo,ATOS,2013,,ATO Nº 085-12,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_085-12.pdf
arquivo,ATOS,2013,,ATO Nº 086-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_086-13.pdf
arquivo,ATOS,2013,,ATO Nº 087-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_087-13.pdf
arquivo,ATOS,2013,,ATO Nº 088-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_088-13.pdf
arquivo,ATOS,2013,,ATO Nº 089-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_089-13.pdf
arquivo,ATOS,2013,,ATO Nº 090-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_090-13.pdf
arquivo,ATOS,2013,,ATO Nº 091-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_091-13.pdf
arquivo,ATOS,2013,,ATO Nº 092-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_092-13.pdf
arquivo,ATOS,2013,,ATO Nº 093-12,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_093-12.pdf
arquivo,ATOS,2013,,ATO Nº 094-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_094-13.pdf
arquivo,ATOS,2013,,ATO Nº 095-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_095-13.pdf
arquivo,ATOS,2013,,ATO Nº 096-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_096-13.pdf
arquivo,ATOS,2013,,ATO Nº 097-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_097-13.pdf
arquivo,ATOS,2013,,ATO Nº 098-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_098-13.pdf
arquivo,ATOS,2013,,ATO Nº 099-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_099-13.pdf
arquivo,ATOS,2013,,ATO Nº 100-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_100-13.pdf
arquivo,ATOS,2013,,ATO Nº 101-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_101-13.pdf
arquivo,ATOS,2013,,ATO Nº 102-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_102-13.pdf
arquivo,ATOS,2013,,ATO Nº 103-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_103-13.pdf
arquivo,ATOS,2013,,ATO Nº 104-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_104-13.pdf
arquivo,ATOS,2013,,ATO Nº 105-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_105-13.pdf
arquivo,ATOS,2013,,ATO Nº 106-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_106-13.pdf
arquivo,ATOS,2013,,ATO Nº 107-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_107-13.pdf
arquivo,ATOS,2013,,ATO Nº 108-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_108-13.pdf
arquivo,ATOS,2013,,ATO Nº 110-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_110-13.pdf
arquivo,ATOS,2013,,ATO Nº 111-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_111-13.pdf
arquivo,ATOS,2013,,ATO Nº 112-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_112-13.pdf
arquivo,ATOS,2013,,ATO Nº 113-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_113-13.pdf
arquivo,ATOS,2013,,ATO Nº 114-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_114-13.pdf
arquivo,ATOS,2013,,ATO Nº 115-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_115-13.pdf
arquivo,ATOS,2013,,ATO Nº 116-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/01-janeiro/ato_no_116-13.pdf
arquivo,ATOS,2013,,ATO Nº 117-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_117-13.pdf
arquivo,ATOS,2013,,ATO Nº 118-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_118-13.pdf
arquivo,ATOS,2013,,ATO Nº 119-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_119-13.pdf
arquivo,ATOS,2013,,ATO Nº 120-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_120-13.pdf
arquivo,ATOS,2013,,ATO Nº 121-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_121-13.pdf
arquivo,ATOS,2013,,ATO Nº 122-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_122-13.pdf
arquivo,ATOS,2013,,ATO Nº 123-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_123-13.pdf
arquivo,ATOS,2013,,ATO Nº 124-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_124-13.pdf
arquivo,ATOS,2013,,ATO Nº 125-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_125-13.pdf
arquivo,ATOS,2013,,ATO Nº 126-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_126-13.pdf
arquivo,ATOS,2013,,ATO Nº 127-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_127-13.pdf
arquivo,ATOS,2013,,ATO Nº 128-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_128-13.pdf
arquivo,ATOS,2013,,ATO Nº 129-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_129-13.pdf
arquivo,ATOS,2013,,ATO Nº 130-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_130-13.pdf
arquivo,ATOS,2013,,ATO Nº 131-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_131-13.pdf
arquivo,ATOS,2013,,ATO Nº 132-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_132-13.pdf
arquivo,ATOS,2013,,ATO Nº 133-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_133-13.pdf
arquivo,ATOS,2013,,ATO Nº 134-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_134-13.pdf
arquivo,ATOS,2013,,ATO Nº 135-13,http://santoantoniodepadua.rj.gov.br/portal/arquivo/3/2013/02-fevereiro/ato_no_135-13.pdf
